semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
861599	-0.5	4	20	5	10360000
449671	-0.5	4	20	5	6890000
241303	-0.5	4	20	5	5270000
933403	-0.5	4	20	5	8230000
647201	-0.5	4	20	5	9850000
338213	-0.5	4	20	5	9850000
872393	-0.5	4	20	5	10520000
823789	-0.5	4	20	5	8850000
202757	-0.5	4	20	5	10280000
747427	-0.5	4	20	5	8050000
706313	-0.5	4	20	5	9430000
373193	-0.5	4	20	5	9030000
337903	-0.5	4	20	5	7970000
643703	-0.5	4	20	5	8960000
966613	-0.5	4	20	5	8060000
522317	-0.5	4	20	5	7720000
896717	-0.5	4	20	5	7470000
322397	-0.5	4	20	5	8840000
937589	-0.5	4	10	5	10910000
462239	-0.5	4	10	5	10740000
861599	-0.5	4	10	5	10360000
449671	-0.5	4	10	5	6950000
241303	-0.5	4	10	5	5270000
933403	-0.5	4	10	5	8230000
647201	-0.5	4	10	5	9860000
338213	-0.5	4	10	5	9850000
872393	-0.5	4	10	5	10550000
823789	-0.5	4	10	5	8890000
202757	-0.5	4	10	5	10280000
747427	-0.5	4	10	5	8100000
706313	-0.5	4	10	5	9480000
373193	-0.5	4	10	5	9030000
337903	-0.5	4	10	5	7970000
643703	-0.5	4	10	5	8960000
966613	-0.5	4	10	5	8060000
522317	-0.5	4	10	5	7720000
896717	-0.5	4	10	5	7470000
322397	-0.5	4	10	5	8840000
937589	-0.5	4	10	5	10910000
462239	-0.5	4	10	5	10740000
861599	-0.5	4	10	5	10360000
449671	-0.5	4	10	5	6950000
241303	-0.5	4	10	5	5270000
933403	-0.5	4	10	5	8230000
647201	-0.5	4	10	5	9860000
338213	-0.5	4	10	5	9850000
872393	-0.5	4	10	5	10550000
823789	-0.5	4	10	5	8890000
202757	-0.5	4	10	5	10280000
747427	-0.5	4	10	5	8100000
706313	-0.5	4	10	5	9480000
373193	-0.5	4	10	5	9030000
337903	-0.5	4	10	5	7970000
643703	-0.5	4	10	5	8960000
966613	-0.5	4	10	5	8060000
522317	-0.5	4	10	5	7720000
896717	-0.5	4	10	5	7470000
322397	-0.5	4	10	5	8840000
937589	-0.5	4	10	5	10910000
462239	-0.5	4	10	5	10740000
861599	-0.5	4	10	5	10360000
449671	-0.5	4	10	5	6950000
241303	-0.5	4	10	5	5270000
933403	-0.5	4	10	5	8230000
647201	-0.5	4	10	5	9860000
338213	-0.5	4	10	5	9850000
872393	-0.5	4	10	5	10550000
823789	-0.5	4	10	5	8890000
202757	-0.5	4	10	5	10280000
747427	-0.5	4	10	5	8100000
706313	-0.5	4	10	5	9480000
373193	-0.5	4	10	5	9030000
337903	-0.5	4	10	5	7970000
643703	-0.5	4	10	5	8960000
966613	-0.5	4	10	5	8060000
522317	-0.5	4	10	5	7720000
896717	-0.5	4	10	5	7470000
322397	-0.5	4	10	5	8840000
937589	-0.5	4	10	5	10910000
462239	-0.5	4	10	5	10740000
861599	-0.5	4	10	5	10360000
449671	-0.5	4	10	5	6950000
241303	-0.5	4	10	5	5270000
933403	-0.5	4	10	5	8230000
647201	-0.5	4	10	5	9860000
338213	-0.5	4	10	5	9850000
872393	-0.5	4	10	5	10550000
823789	-0.5	4	10	5	8890000
202757	-0.5	4	10	5	10280000
747427	-0.5	4	10	5	8100000
706313	-0.5	4	10	5	9480000
373193	-0.5	4	10	5	9030000
337903	-0.5	4	10	5	7970000
643703	-0.5	4	10	5	8960000
966613	-0.5	4	10	5	8060000
522317	-0.5	4	10	5	7720000
896717	-0.5	4	10	5	7470000
322397	-0.5	4	10	5	8840000
937589	-0.5	6	1000	5	10550000
462239	-0.5	6	1000	5	11410000
861599	-0.5	6	1000	5	9390000
449671	-0.5	6	1000	5	6670000
241303	-0.5	6	1000	5	5150000
933403	-0.5	6	1000	5	8360000
647201	-0.5	6	1000	5	11220000
338213	-0.5	6	1000	5	9440000
872393	-0.5	6	1000	5	11130000
823789	-0.5	6	1000	5	8930000
202757	-0.5	6	1000	5	11100000
747427	-0.5	6	1000	5	7400000
706313	-0.5	6	1000	5	9560000
373193	-0.5	6	1000	5	8720000
337903	-0.5	6	1000	5	7030000
643703	-0.5	6	1000	5	8790000
966613	-0.5	6	1000	5	7180000
522317	-0.5	6	1000	5	4880000
896717	-0.5	6	1000	5	8520000
322397	-0.5	6	1000	5	8080000
937589	-0.5	6	1000	5	10550000
462239	-0.5	6	1000	5	11410000
861599	-0.5	6	1000	5	9390000
449671	-0.5	6	1000	5	6670000
241303	-0.5	6	1000	5	5150000
933403	-0.5	6	1000	5	8360000
647201	-0.5	6	1000	5	11220000
338213	-0.5	6	1000	5	9440000
872393	-0.5	6	1000	5	11130000
823789	-0.5	6	1000	5	8930000
202757	-0.5	6	1000	5	11100000
747427	-0.5	6	1000	5	7400000
706313	-0.5	6	1000	5	9560000
373193	-0.5	6	1000	5	8720000
337903	-0.5	6	1000	5	7030000
643703	-0.5	6	1000	5	8790000
966613	-0.5	6	1000	5	7180000
522317	-0.5	6	1000	5	4880000
896717	-0.5	6	1000	5	8520000
322397	-0.5	6	1000	5	8080000
937589	-0.5	6	1000	5	10550000
